id	Gender	Pre	Post		
181	Female	300.569	230.603		
182	Female	259.447	277.867		
183	Female	268.056	270.220		
184	Female	267.474	242.184		
185	Female	295.085	225.866		
186	Female	242.768	296.082		
187	Female	261.552	255.871		
188	Female	275.049	238.217		
189	Female	254.756	294.037		
190	Female	287.699	265.632		
191	Female	331.814	257.913		
192	Female	267.338	241.279		
193	Female	290.891	263.859		
194	Female	217.815	271.384		
195	Female	313.985	279.037		
196	Female	281.343	239.975		
197	Female	300.360	254.994		
198	Female	263.099	229.378		
199	Female	286.780	202.827		
200	Female	241.067	286.262		
